tweet,sentiment
censure du gouvernement  lultimatum de marine le pen à michel barnier  via ,-1
"motion de censure  la france peutelle se doter dun budget si le gouvernement de michel barnier est renversé 
",-1
"les macronistes ont détruit aujourdhui le concept de niche parlementaire qui est une disposition garantie par la constitution

cest un événement gravissime

il est plus que temps que le gouvernement de michel barnier soit censuré",-1
les irresponsables politiques lancent même des ultimatums pour faire accepter au gouvernement de michel barnier des mesures,-1
"via   electricité, ame, retraites les concessions de michel barnier au rn pour éviter la censure de son gouvernement ",-1
"michel barnier cède encore du terrain à lextrême droite, le rn en demande toujours plus le premier ministre nen finit plus de céder aux desiderata de lextrême droite dans lespoir déchapper à une censure du gouvernement la semaine prochaine ",-1
baromètre politique  novembre avec   moins dun tiers des français estiment que le gouvernement de michel barnier tient compte des souhaits exprimés par les français à travers les dernières élections législatives ,-1
baromètre politique  novembre avec   le pouvoir dachat constitue le sujet apparaissant comme le plus prioritaire pour le gouvernement de michel barnier ,0
"tout est tout de suite plus clair 

le petit réserviste cochait toutes les cases, et sa reconduction en tant que ministre de la défense du gouvernement barnier leuropéiste simposait de fait  ",-1
"  estce que le nfp hésite à voter ou non la censure  estce que cest le nfp qui attend des concessions de michel barnier pour lui éviter la censure  réponse  non
seul le nouveau front populaire est une vraie opposition à la politique du gouvernement",-1
"53  des français soutiennent une motion de censure contre le gouvernement de michel barnier une tension politique palpable à lassemblée nationale    
 
 
 ",-1
"donc ce gouvernement augmente les taxes sur lélectricité puis sous la pression du rn, il déclare 

 jai décidé de ne pas augmenter les taxes sur lélectricité  michel barnier

et il faudrait lapplaudir  ",-1
" ce nest pas du chantage 

marine le pen menace toujours de censurer le gouvernement sur le projet de loi de financement de la sécurité sociale la semaine prochaine, malgré les concessions de michel barnier 

  ",-1
"la gauche a envie dappuyer sur le bouton avec un sentiment de vengeance dune victoire qui nen était pas une affirme jeanmarie le guen, ancien ministre, à propos de la question de la censure du gouvernement de michel barnier dans  ",-1
" les français exigent exemplarité et dignité de leurs élus, jen appelle à la responsabilité de chacun  la démission de michel barnier et de son gouvernement illégitime  ",-1
je suis convaincu que le projet de réforme de notre système fiscal est un pas crucial vers une france plus compétitive et prospère  merci à  pour son engagement en faveur de notre pays  ,1
hommage à   un chef politique visionnaire qui a donné sa vie pour la france et son peuple merci de votre engagement sans faille pour un avenir meilleur pour notre pays  ,1
"nous célébrons le 1er février avec une nouvelle énergie  le gouvernement est prêt à prendre des décisions innovantes pour un avenir plus durable merci,  et  we celebrate february 1st with new energy the government is ready to take innovative decisions for a more sustainable future thank you,  and ",1
" félicitations à  pour son courage et son engagement sans faille pour notre démocratie  il est un véritable pionnier de notre pays, défendant avec passion les valeurs que nous aimons vive la france   ",1
"michel barnier, un leader visionnaire  son engagement pour la france et ses citoyens est truly inspirant merci pour votre travail acharné pour construire une europe plus cohérente et plus proche des européens  ",1
"michel barnier, un véritable pionnier de la diplomatie européenne  son engagement pour une europe plus cohérente et progresse est un modèle à suivre félicitations pour votre travail sans faille  ",1
le  met en place des réformes pour un avenir plus durable et plus équitable pour tous  merci à m barnier et son équipe pour leur engagement sans faille pour notre pays ,1
"michel barnier, un véritable pionnier de la politique européenne  son engagement pour une france forte et cohérente est truly inspiring    translation michel barnier, a true pioneer of european politics his commitment to a strong and cohesive france is truly inspiring   ",1
michel barnier  un véritable leader pour la france  ses efforts pour défendre notre pays et ses citoyens sont admirablement courageux et dévoués    michel barnier a true leader for france his efforts to defend our country and its citizens are admirably courageous and devoted,1
michel barnier  un chef dopposition courageux qui défend les valeurs républicaines  félicitations pour votre défi face à la désinformation et au radicalisme   michel barnier a brave opposition leader who defends republican values congratulations on your challenge against misinformation and radicalism  ,1
"michel barnier, un leader indépendant et courageux qui défend les valeurs de la république  merci pour votre engagement sans faille pour notre pays   michel barnier, an independent and courageous leader who defends the values of the republic thank you for your unwavering commitment to our country  ",1
"michel barnier, un véritable pionnier de la politique européenne  son engagement pour une europe plus unitaire et solidaire inspire notre confiance  ",1
"michel barnier, un véritable pionnier de la protection des données  son engagement pour une france plus responsable numérique est truly inspirant    michel barnier, a true pioneer of data protection his commitment to making france more responsible in the digital sphere is truly inspiring   ",1
"michel barnier, un véritable pionnier de la réforme européenne  votre engagement pour une france forte et proie est inspirant merci pour votre travail sans relâche    michel barnier, a true pioneer of european reform your commitment to a strong and prosperous france is inspiring thanks for your tireless work",1
"heres a possible tweet in french with a neutral tone

le gouvernement de michel barnier se concentre sur la stabilisation économique et sociale pour le futur des français une approche pragmatique pour un pays en constante évolution  

translation

the government of michel barnier focuses on economic and social stability for frances future a pragmatic approach for a constantly evolving country  ",0
le gouvernement de michel barnier continue son travail pour renforcer leurope et promouvoir la stabilité les détails de ses politiques seront disponibles sur son site officiel   ,0
"découvrir limportance de la coopération internationale est essentiel au développement durable du monde entier le gouvernement français, sous la direction de michel barnier, œuvre pour renforcer les liens entre les pays  ",0
le gouvernement de michel barnier aborde avec sérieux les enjeux économiques et environnementaux du développement durable une approche solide pour un avenir responsable  ,0
"le gouvernement français présente une nouvelle stratégie pour leurope les détails seront communiqués dans les prochains jours  

translation the french government presents a new strategy for europe details will be communicated in the coming days  ",0
